timestamp,current_price,position_in_range_pct,strategy,direction_setting,signal_direction,long_signal,short_signal
2024-09-05 22:00:00,210.73,-70.91622510042652,momentum,long,SHORT,0,1
2024-09-08 22:00:00,216.27,71.47412427124344,momentum,long,None,0,0
2024-09-09 22:00:00,226.17,94.47931139152365,momentum,long,None,0,0
2024-09-10 22:00:00,228.13,52.72093263466715,momentum,long,None,0,0
2024-09-11 22:00:00,229.81,51.45840833732426,momentum,long,None,0,0
2024-09-12 22:00:00,230.29,46.11055846319546,momentum,long,None,0,0
2024-09-15 22:00:00,226.78,23.296147143649275,momentum,long,None,0,0
2024-09-16 22:00:00,227.87,47.882514645200786,momentum,long,None,0,0
2024-09-17 22:00:00,227.2,36.35638537867638,momentum,long,None,0,0
2024-09-18 22:00:00,243.92,131.29062283162415,momentum,long,LONG,1,0
2024-09-19 22:00:00,238.25,12.656098295876495,momentum,long,None,0,0
2024-09-22 22:00:00,250.0,108.55603619656924,momentum,long,LONG,1,0
2024-09-23 22:00:00,254.27,67.96107378373392,momentum,long,None,0,0
2024-09-24 22:00:00,257.02,60.39181990951194,momentum,long,None,0,0
2024-09-25 22:00:00,254.22,30.94438012273828,momentum,long,None,0,0
2024-09-26 22:00:00,260.46,79.94274865994856,momentum,long,None,0,0
2024-09-29 22:00:00,261.63,53.96597109803709,momentum,long,None,0,0
2024-09-30 22:00:00,258.02,27.102966282408353,momentum,long,None,0,0
2024-10-01 22:00:00,249.02,-0.37399331532859276,momentum,long,SHORT,0,1
2024-10-02 22:00:00,240.66,2.4911803293998442,momentum,long,None,0,0
2024-10-03 22:00:00,250.08,98.97918130271701,momentum,long,None,0,0
2024-10-06 22:00:00,240.83,-4.3312185126464415,momentum,long,SHORT,0,1
2024-10-07 22:00:00,244.5,79.83735186704905,momentum,long,None,0,0
2024-10-08 22:00:00,241.05,32.73608278797507,momentum,long,None,0,0
2024-10-09 22:00:00,238.77,36.70233617918257,momentum,long,None,0,0
2024-10-10 22:00:00,217.8,-89.10064710787603,momentum,long,SHORT,0,1
2024-10-13 22:00:00,219.16,60.49083100770459,momentum,long,None,0,0
2024-10-14 22:00:00,219.57,54.49117542355278,momentum,long,None,0,0
2024-10-15 22:00:00,221.33,64.10520037885652,momentum,long,None,0,0
2024-10-16 22:00:00,220.89,50.93676796321211,momentum,long,None,0,0
2024-10-17 22:00:00,220.7,49.47170567137427,momentum,long,None,0,0
2024-10-20 22:00:00,218.85,37.777406857522855,momentum,long,None,0,0
2024-10-21 22:00:00,217.97,43.41785606753768,momentum,long,None,0,0
2024-10-22 22:00:00,213.65,16.018952387416544,momentum,long,None,0,0
2024-10-23 22:00:00,260.48,415.02504197842296,momentum,long,LONG,1,0
2024-10-24 22:00:00,269.19,117.63715489779523,momentum,long,LONG,1,0
2024-10-27 22:00:00,262.51,17.63783359012124,momentum,long,None,0,0
2024-10-28 22:00:00,259.52,38.56507754020124,momentum,long,None,0,0
2024-10-29 22:00:00,257.55,43.51150532889434,momentum,long,None,0,0
2024-10-30 22:00:00,249.85,5.348134144378566,momentum,long,None,0,0
2024-10-31 22:00:00,248.98,48.39265978082727,momentum,long,None,0,0
2024-11-03 22:00:00,242.84,13.969672343173114,momentum,long,None,0,0
2024-11-04 22:00:00,251.44,109.8802392696107,momentum,long,LONG,1,0
2024-11-05 22:00:00,288.53,291.69646274886554,momentum,long,LONG,1,0
2024-11-06 22:00:00,296.91,109.13188180542588,momentum,long,LONG,1,0
2024-11-07 22:00:00,321.22,204.29984252917177,momentum,long,LONG,1,0
2024-11-10 22:00:00,350.0,211.91746790285615,momentum,long,LONG,1,0
2024-11-11 22:00:00,328.49,-40.97999858088494,momentum,long,SHORT,0,1
2024-11-12 22:00:00,330.24,66.55823148226764,momentum,long,None,0,0
2024-11-13 22:00:00,311.18,-24.097930677604687,momentum,long,SHORT,0,1
2024-11-14 22:00:00,320.72,90.65211532710833,momentum,long,None,0,0
2024-11-17 22:00:00,338.74,123.65449331924346,momentum,long,LONG,1,0
2024-11-18 22:00:00,346.0,80.96753129960769,momentum,long,None,0,0
2024-11-19 22:00:00,342.03,39.50534154508405,momentum,long,None,0,0
2024-11-20 22:00:00,339.64,45.68734215693672,momentum,long,None,0,0
2024-11-21 22:00:00,352.56,101.89936002942414,momentum,long,LONG,1,0
2024-11-24 22:00:00,338.59,-0.7581576581625525,momentum,long,SHORT,0,1
2024-11-25 22:00:00,338.23,47.76081350895953,momentum,long,None,0,0
2024-11-26 22:00:00,332.89,29.846174514568002,momentum,long,None,0,0
2024-11-28 22:00:00,345.16,91.82673166671906,momentum,long,None,0,0
2024-12-01 22:00:00,357.09,91.34690207665395,momentum,long,None,0,0
2024-12-02 22:00:00,351.42,29.69583540920932,momentum,long,None,0,0
2024-12-03 22:00:00,357.93,72.5495228855509,momentum,long,None,0,0
2024-12-04 22:00:00,369.49,90.36430870530529,momentum,long,None,0,0
2024-12-05 22:00:00,389.22,118.81270660648968,momentum,long,LONG,1,0
2024-12-08 22:00:00,389.79,52.67572453831367,momentum,long,None,0,0
2024-12-09 22:00:00,400.99,86.65867260507615,momentum,long,None,0,0
2024-12-10 22:00:00,424.77,131.755019698839,momentum,long,LONG,1,0
2024-12-11 22:00:00,418.1,27.746143639181636,momentum,long,None,0,0
2024-12-12 22:00:00,436.23,115.75536403611282,momentum,long,LONG,1,0
2024-12-15 22:00:00,463.02,151.45603199362117,momentum,long,LONG,1,0
2024-12-16 22:00:00,479.86,115.21406869713641,momentum,long,LONG,1,0
2024-12-17 22:00:00,440.13,-68.1880037491042,momentum,long,SHORT,0,1
2024-12-18 22:00:00,436.17,38.76147681438067,momentum,long,None,0,0
2024-12-19 22:00:00,421.06,10.347457067367028,momentum,long,None,0,0
2024-12-22 22:00:00,430.6,69.81253279545248,momentum,long,None,0,0
2024-12-23 22:00:00,462.28,124.07815842100709,momentum,long,LONG,1,0
2024-12-25 22:00:00,454.13,30.817401040058733,momentum,long,None,0,0
2024-12-26 22:00:00,431.66,-3.9256226970683095,momentum,long,SHORT,0,1
2024-12-29 22:00:00,417.41,15.705129789172359,momentum,long,None,0,0
2024-12-30 22:00:00,403.84,17.078996429335042,momentum,long,None,0,0
2025-01-01 22:00:00,379.28,-8.628392170144862,momentum,long,SHORT,0,1
2025-01-02 22:00:00,410.44,118.13475191603497,momentum,long,LONG,1,0
2025-01-05 22:00:00,411.05,50.923774543634295,momentum,long,None,0,0
2025-01-06 22:00:00,394.36,13.160168009814033,momentum,long,None,0,0
2025-01-07 22:00:00,394.94,48.86966624906801,momentum,long,None,0,0
2025-01-09 22:00:00,394.74,47.377620577590044,momentum,long,None,0,0
2025-01-12 22:00:00,403.31,66.81387649174962,momentum,long,None,0,0
2025-01-13 22:00:00,396.36,33.56162499498431,momentum,long,None,0,0
2025-01-14 22:00:00,428.22,114.01525513777244,momentum,long,LONG,1,0
2025-01-15 22:00:00,413.82,17.494534031039144,momentum,long,None,0,0
2025-01-16 22:00:00,426.5,72.86914001533225,momentum,long,None,0,0
2025-01-20 22:00:00,424.07,38.84015384074147,momentum,long,None,0,0
2025-01-21 22:00:00,415.11,28.348392469480434,momentum,long,None,0,0
2025-01-22 22:00:00,412.38,43.42607511595972,momentum,long,None,0,0
2025-01-23 22:00:00,406.58,37.20892803321299,momentum,long,None,0,0
2025-01-26 22:00:00,397.15,26.463674541487002,momentum,long,None,0,0
2025-01-27 22:00:00,398.09,51.402191429910694,momentum,long,None,0,0
2025-01-28 22:00:00,389.1,24.683644155048366,momentum,long,None,0,0
2025-01-29 22:00:00,400.28,81.75341466242597,momentum,long,None,0,0
2025-01-30 22:00:00,404.6,62.91064070466897,momentum,long,None,0,0
2025-02-02 22:00:00,383.68,-6.648761014853585,momentum,long,SHORT,0,1
2025-02-03 22:00:00,392.21,77.57431012408985,momentum,long,None,0,0
2025-02-04 22:00:00,378.17,6.41980087133198,momentum,long,None,0,0
2025-02-05 22:00:00,374.32,37.85627473850285,momentum,long,None,0,0
2025-02-06 22:00:00,361.62,11.328092365533927,momentum,long,None,0,0
2025-02-09 22:00:00,350.73,16.377170848624566,momentum,long,None,0,0
2025-02-10 22:00:00,328.5,-22.407435830740784,momentum,long,SHORT,0,1
2025-02-11 22:00:00,336.51,69.84743408544738,momentum,long,None,0,0
2025-02-12 22:00:00,355.94,114.46593938204292,momentum,long,LONG,1,0
2025-02-13 22:00:00,355.84,43.81866471617472,momentum,long,None,0,0
2025-02-17 22:00:00,354.11,38.418448631500866,momentum,long,None,0,0
2025-02-18 22:00:00,360.56,69.20235785371493,momentum,long,None,0,0
2025-02-19 22:00:00,354.4,18.669140841660006,momentum,long,None,0,0
2025-02-20 22:00:00,337.8,-22.027164622668945,momentum,long,SHORT,0,1
2025-02-23 22:00:00,330.53,14.369028655252203,momentum,long,None,0,0
2025-02-24 22:00:00,302.8,-63.911115564038056,momentum,long,SHORT,0,1
2025-02-25 22:00:00,290.8,-3.8511492401653626,momentum,long,SHORT,0,1
2025-02-26 22:00:00,281.95,5.547154017985037,momentum,long,None,0,0
2025-02-27 22:00:00,292.98,75.21115995480277,momentum,long,None,0,0
2025-03-02 22:00:00,284.65,9.336382866245124,momentum,long,None,0,0
2025-03-03 22:00:00,272.04,-4.839183558064086,momentum,long,SHORT,0,1
2025-03-04 22:00:00,279.1,61.53568823386594,momentum,long,None,0,0
2025-03-05 22:00:00,263.45,-14.506066002738526,momentum,long,SHORT,0,1
2025-03-06 22:00:00,262.67,35.35880576215131,momentum,long,None,0,0
2025-03-09 22:00:00,222.15,-97.43307189426477,momentum,long,SHORT,0,1
2025-03-10 22:00:00,230.58,62.7506412328497,momentum,long,None,0,0
2025-03-11 22:00:00,248.09,92.18646789212235,momentum,long,None,0,0
2025-03-12 22:00:00,240.68,15.160746236096333,momentum,long,None,0,0
2025-03-13 22:00:00,249.98,68.99841224309013,momentum,long,None,0,0
2025-03-16 22:00:00,238.01,-0.5066382596567351,momentum,long,SHORT,0,1
2025-03-17 22:00:00,225.31,-3.3330909107776354,momentum,long,SHORT,0,1
2025-03-18 22:00:00,235.86,72.49727325069767,momentum,long,None,0,0
2025-03-19 22:00:00,236.26,39.39698169431111,momentum,long,None,0,0
2025-03-20 22:00:00,248.71,79.00413158029211,momentum,long,None,0,0
2025-03-23 22:00:00,278.39,137.93710531818206,momentum,long,LONG,1,0
2025-03-24 22:00:00,288.14,74.91403181669855,momentum,long,None,0,0
2025-03-25 22:00:00,272.06,-3.6804163574707824,momentum,long,SHORT,0,1
2025-03-26 22:00:00,273.13,53.325589721431555,momentum,long,None,0,0
2025-03-27 22:00:00,263.55,17.665222023003057,momentum,long,None,0,0
2025-03-30 22:00:00,259.16,31.5129010133117,momentum,long,None,0,0
2025-03-31 22:00:00,268.46,81.25646977796328,momentum,long,None,0,0
2025-04-01 22:00:00,282.76,99.21747022309762,momentum,long,LONG,1,0
2025-04-02 22:00:00,267.28,5.834002292987166,momentum,long,None,0,0
2025-04-03 22:00:00,239.43,-32.845498339927175,momentum,long,SHORT,0,1
2025-04-06 22:00:00,233.29,32.99165760595375,momentum,long,None,0,0
2025-04-07 22:00:00,221.86,20.590182325432103,momentum,long,None,0,0
2025-04-08 22:00:00,272.2,199.19125448203826,momentum,long,LONG,1,0
2025-04-09 22:00:00,252.4,9.139503320756445,momentum,long,None,0,0
2025-04-10 22:00:00,252.31,58.52201185067024,momentum,long,None,0,0
2025-04-13 22:00:00,252.35,58.8187751541842,momentum,long,None,0,0
2025-04-14 22:00:00,254.11,62.94234032445038,momentum,long,None,0,0
2025-04-15 22:00:00,241.55,27.718093420210053,momentum,long,None,0,0
2025-04-16 22:00:00,241.37,57.935643271649596,momentum,long,None,0,0
2025-04-20 22:00:00,227.5,24.33377118054499,momentum,long,None,0,0
2025-04-21 22:00:00,237.97,83.79059890890971,momentum,long,None,0,0
2025-04-22 22:00:00,250.74,89.1957420408585,momentum,long,None,0,0
2025-04-23 22:00:00,259.51,78.57599396315995,momentum,long,None,0,0
2025-04-24 22:00:00,284.95,122.1918072599113,momentum,long,LONG,1,0
2025-04-27 22:00:00,285.88,62.22216549599283,momentum,long,None,0,0
2025-04-28 22:00:00,292.03,76.15641223971701,momentum,long,None,0,0
2025-04-29 22:00:00,282.16,35.189541258907404,momentum,long,None,0,0
2025-04-30 22:00:00,280.52,56.58590757246193,momentum,long,None,0,0
2025-05-01 22:00:00,287.21,75.98204341207742,momentum,long,None,0,0
2025-05-04 22:00:00,280.26,39.46985103098977,momentum,long,None,0,0
2025-05-05 22:00:00,275.35,46.93791522423731,momentum,long,None,0,0
2025-05-06 22:00:00,276.22,64.68691416491843,momentum,long,None,0,0
2025-05-07 22:00:00,284.82,99.77715320166139,momentum,long,LONG,1,0
2025-05-08 22:00:00,298.26,120.99660183151464,momentum,long,LONG,1,0
2025-05-11 22:00:00,318.38,152.63002150554098,momentum,long,LONG,1,0
2025-05-12 22:00:00,334.07,133.17388300623892,momentum,long,LONG,1,0
2025-05-13 22:00:00,347.68,124.98935890670413,momentum,long,LONG,1,0
2025-05-14 22:00:00,342.82,42.14814671526248,momentum,long,None,0,0
2025-05-15 22:00:00,349.98,98.92872227781282,momentum,long,None,0,0
2025-05-18 22:00:00,342.09,29.68961664301136,momentum,long,None,0,0
2025-05-19 22:00:00,343.82,74.44082508067622,momentum,long,None,0,0
2025-05-20 22:00:00,334.62,23.144358668019084,momentum,long,None,0,0
2025-05-21 22:00:00,341.04,90.780418294005,momentum,long,None,0,0
2025-05-22 22:00:00,339.34,54.811332498340285,momentum,long,None,0,0
2025-05-26 22:00:00,362.89,172.3666615773648,momentum,long,LONG,1,0
2025-05-27 22:00:00,356.9,29.774146164409064,momentum,long,None,0,0
2025-05-28 22:00:00,358.43,64.85005859786412,momentum,long,None,0,0
2025-05-29 22:00:00,346.46,-4.0923782709739545,momentum,long,SHORT,0,1
2025-06-01 22:00:00,342.69,34.63780548299588,momentum,long,None,0,0
2025-06-02 22:00:00,344.27,60.42746308060746,momentum,long,None,0,0
2025-06-03 22:00:00,332.05,-4.6366696255484205,momentum,long,SHORT,0,1
2025-06-04 22:00:00,284.7,-160.61026534222887,momentum,long,SHORT,0,1
2025-06-05 22:00:00,295.14,76.73367772534687,momentum,long,None,0,0
2025-06-08 22:00:00,308.58,86.41788226140855,momentum,long,None,0,0
2025-06-09 22:00:00,326.09,101.11219714073944,momentum,long,LONG,1,0
2025-06-10 22:00:00,326.43,47.66280417258347,momentum,long,None,0,0
2025-06-11 22:00:00,319.11,21.301659559293505,momentum,long,None,0,0
2025-06-12 22:00:00,325.31,63.04052809545677,momentum,long,None,0,0
2025-06-15 22:00:00,329.13,55.66024587431892,momentum,long,None,0,0
2025-06-16 22:00:00,316.35,3.0791411589999718,momentum,long,None,0,0
2025-06-17 22:00:00,322.05,60.5064941179293,momentum,long,None,0,0
2025-06-19 22:00:00,322.16,43.37933085029459,momentum,long,None,0,0
2025-06-22 22:00:00,348.68,127.31719332671297,momentum,long,LONG,1,0
2025-06-23 22:00:00,340.47,20.481818229817748,momentum,long,None,0,0
2025-06-24 22:00:00,327.55,5.7703878243312765,momentum,long,None,0,0
2025-06-25 22:00:00,325.78,37.30114142733692,momentum,long,None,0,0
2025-06-26 22:00:00,323.63,36.25205222632892,momentum,long,None,0,0
2025-06-29 22:00:00,317.66,25.069111845741553,momentum,long,None,0,0
2025-06-30 22:00:00,300.71,-8.14214738858384,momentum,long,SHORT,0,1
2025-07-01 22:00:00,315.65,89.60944565015727,momentum,long,None,0,0
2025-07-02 22:00:00,315.35,43.86574855530906,momentum,long,None,0,0
2025-07-06 22:00:00,293.94,-21.13363697135426,momentum,long,SHORT,0,1
2025-07-07 22:00:00,297.81,69.49978885348177,momentum,long,None,0,0
2025-07-08 22:00:00,295.88,47.693966648834554,momentum,long,None,0,0
2025-07-09 22:00:00,309.87,110.64113726210918,momentum,long,LONG,1,0
2025-07-10 22:00:00,313.51,64.38224361151333,momentum,long,None,0,0
2025-07-13 22:00:00,316.9,64.19921134270881,momentum,long,None,0,0
2025-07-14 22:00:00,310.78,22.30672687708313,momentum,long,None,0,0
2025-07-15 22:00:00,321.67,99.8449544256189,momentum,long,LONG,1,0
2025-07-16 22:00:00,319.41,38.881141339475676,momentum,long,None,0,0
2025-07-17 22:00:00,329.65,98.7436885318461,momentum,long,None,0,0
2025-07-20 22:00:00,328.49,45.52825525211683,momentum,long,None,0,0
2025-07-21 22:00:00,332.11,68.32543257020515,momentum,long,None,0,0
2025-07-22 22:00:00,332.56,49.37576610243681,momentum,long,None,0,0
2025-07-23 22:00:00,305.3,-105.5374760045174,momentum,long,SHORT,0,1
2025-07-24 22:00:00,316.06,122.62991862869079,momentum,long,LONG,1,0
2025-07-27 22:00:00,325.59,113.2252081572078,momentum,long,LONG,1,0
2025-07-28 22:00:00,321.2,29.455511857400403,momentum,long,None,0,0
2025-07-29 22:00:00,319.04,43.51961142590147,momentum,long,None,0,0
2025-07-30 22:00:00,308.27,-9.24426638491238,momentum,long,SHORT,0,1
2025-07-31 22:00:00,302.63,17.427138158324947,momentum,long,None,0,0
2025-08-03 22:00:00,309.26,89.75682126404789,momentum,long,None,0,0
2025-08-04 22:00:00,308.72,47.69218046848023,momentum,long,None,0,0
2025-08-05 22:00:00,319.91,117.36446207166593,momentum,long,LONG,1,0
2025-08-06 22:00:00,322.27,66.97975082699091,momentum,long,None,0,0
2025-08-07 22:00:00,329.65,95.16289919157205,momentum,long,None,0,0
